id_penyakit,nama_penyakit
P001,"Penyakit Trotol, Bercak Ungu (Purple blotch)"
P002,Penyakit Embun Buluk/Tepung Palsu (Downy mildew)
P003,"Penyakit otomatis, Antraknose (Antrachnose)"
P004,Penyakit Moler atau Layu Fusarium (Fusarium Basal Plate Rot)
P005,Mati pucuk
P006,Penyakit Buluk Penicillium (Blue Mold)
P007,"Virus Kerdil Kuning, Virus Mosaik (Onion Yellow Dwarf Virus)"
P008,Penyakit Nematoda Buncak Akar (Root Knot Nemotade)
P009,Ulat grayak atau ngengat Spodoptera exigua L
P010,Hama Putih atau Trips (Thrips)
P011,Ulat Tanah (Cut Worm)
P012,Lalat Pengorok Daun (Liriomyza chinensis)
